AID,NAME,BAND,GENDER,DATE OF BIRTH,DATE,Genre
1,Benjamin Burnley,Breaking Benjamin,Male,1978,1999,Alternative Metal  
2,David Draiman,Disturbed,Male,1973,1994,Heavy Metal
3,Amy Lee,Evanescence,Female,1981,1995,Rock
4,Cristina Scabbia,Lacuna Coil,Female,1972,1994,Gothic Metal
5,Adam Gontier,Three Days Grace,Male,1978,1997,Nu Metal
