ABID,ALBUM NAME,AID,PUBLISHER,NUMBER OF TRACKS,TOTAL DURATION,TRACK NUMBER,TRACK MBID
10,Broken Crown Halo,4,Century Media Records,11,47.35,7,114
10,Broken Crown Halo,4,Century Media Records,11,47.35,8,115
10,Broken Crown Halo,4,Century Media Records,11,47.35,9,116
10,Broken Crown Halo,4,Century Media Records,11,47.35,10,117
10,Broken Crown Halo,4,Century Media Records,11,47.35,11,118
11,Transit of Venus,5,Revolution Studios,13,41.4,1,119
11,Transit of Venus,5,Revolution Studios,13,41.4,2,120
11,Transit of Venus,5,Revolution Studios,13,41.4,3,121
11,Transit of Venus,5,Revolution Studios,13,41.4,4,122
11,Transit of Venus,5,Revolution Studios,13,41.4,5,123
11,Transit of Venus,5,Revolution Studios,13,41.4,6,124
11,Transit of Venus,5,Revolution Studios,13,41.4,7,125
11,Transit of Venus,5,Revolution Studios,13,41.4,8,126
11,Transit of Venus,5,Revolution Studios,13,41.4,9,127
11,Transit of Venus,5,Revolution Studios,13,41.4,10,128
11,Transit of Venus,5,Revolution Studios,13,41.4,11,129
11,Transit of Venus,5,Revolution Studios,13,41.4,12,130
11,Transit of Venus,5,Revolution Studios,13,41.4,13,131
12,Life Starts Now,5,Jive Records,12,43.43,1,132
12,Life Starts Now,5,Jive Records,12,43.43,2,133
12,Life Starts Now,5,Jive Records,12,43.43,3,134
12,Life Starts Now,5,Jive Records,12,43.43,4,135
12,Life Starts Now,5,Jive Records,12,43.43,5,136
12,Life Starts Now,5,Jive Records,12,43.43,6,137
12,Life Starts Now,5,Jive Records,12,43.43,7,138
12,Life Starts Now,5,Jive Records,12,43.43,8,139
12,Life Starts Now,5,Jive Records,12,43.43,9,140
12,Life Starts Now,5,Jive Records,12,43.43,10,141
12,Life Starts Now,5,Jive Records,12,43.43,11,142
12,Life Starts Now,5,Jive Records,12,43.43,12,143
13,One-X,5, Sony Music Entertainment,12,43.44,1,144
13,One-X,5, Sony Music Entertainment,12,43.44,2,145
13,One-X,5, Sony Music Entertainment,12,43.44,3,146
13,One-X,5, Sony Music Entertainment,12,43.44,4,147
13,One-X,5, Sony Music Entertainment,12,43.44,5,148
13,One-X,5, Sony Music Entertainment,12,43.44,6,149
13,One-X,5, Sony Music Entertainment,12,43.44,7,150
13,One-X,5, Sony Music Entertainment,12,43.44,8,151
13,One-X,5, Sony Music Entertainment,12,43.44,9,152
13,One-X,5, Sony Music Entertainment,12,43.44,10,153
13,One-X,5, Sony Music Entertainment,12,43.44,11,154
13,One-X,5, Sony Music Entertainment,12,43.44,12,155
